signal_id,created_at,symbol,side,price,score,entry,stop,tp1,tp2,rr1,rr2,turnover24h_m,change24h_pct,funding_pct,btc_regime,btc_score_delta,oi_change_pct,price_change_oi_window_pct,oi_score_delta,oi_signal,reason,selected,manual_comment,smc_score_delta,smc_bias,smc_event,smc_zone,smc_reason
20260512_152526_BTCUSDT_LONG,2026-05-12T12:25:26.972778+00:00,BTCUSDT,long,80784.9,7,80380.9755 - 80946.4698,78724.4,82450.0,84905.9,0.81,2.0,4061.8,-0.58,0.0055,BTC 4H weak/neutral,-1,0.42,0.8,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_152526_SOLUSDT_LONG,2026-05-12T12:25:26.972778+00:00,SOLUSDT,long,95.01,7,94.53495 - 95.20002,87.1222,98.36,110.7856,0.42,2.0,1101.5,-0.14,0.01,BTC 4H weak/neutral,-1,-1.55,2.67,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_152526_XRPUSDT_LONG,2026-05-12T12:25:26.972778+00:00,XRPUSDT,long,1.451,7,1.443745 - 1.453902,1.36902,1.5075,1.614959,0.69,2.0,413.6,-0.71,0.0031,BTC 4H weak/neutral,-1,2.5,2.28,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",yes,,,,,,
20260512_152526_LABUSDT_LONG,2026-05-12T12:25:26.972778+00:00,LABUSDT,long,4.5308,7,4.508146 - 4.539862,3.672123,7.9301,6.248154,3.96,2.0,283.9,-1.57,0.0305,BTC 4H weak/neutral,-1,-38.25,11.27,0,price up + OI down: possible short squeeze,"1D uptrend, 4H above EMA50, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_152526_TAOUSDT_LONG,2026-05-12T12:25:26.972778+00:00,TAOUSDT,long,310.41,7,308.85795 - 311.03082,294.8782,333.23,341.4736,1.47,2.0,69.4,-3.74,0.005,BTC 4H weak/neutral,-1,-3.73,-0.75,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_152526_ADAUSDT_LONG,2026-05-12T12:25:26.972778+00:00,ADAUSDT,long,0.2742,7,0.272829 - 0.274748,0.258004,0.2886,0.306593,0.89,2.0,68.7,-1.83,-0.0072,BTC 4H weak/neutral,-1,-2.37,0.96,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",yes,,,,,,
20260515_095446_ZECUSDT_LONG,2026-05-15T06:54:46.237492+00:00,ZECUSDT,long,543.24,11,540.5238 - 544.32648,511.629,606.462,613.3,2.0,2.22,192.8,2.96,0.0006,BTC 4H supportive,1,-4.0,-4.8,0,price down + OI down: deleveraging,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_095446_LINKUSDT_LONG,2026-05-15T06:54:46.237492+00:00,LINKUSDT,long,10.281,11,10.229595 - 10.301562,9.98184,10.865,10.87932,1.95,2.0,63.8,-0.18,0.0,BTC 4H supportive,1,-5.97,-2.73,0,price down + OI down: deleveraging,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_095446_NEARUSDT_LONG,2026-05-15T06:54:46.237492+00:00,NEARUSDT,long,1.5618,11,1.553991 - 1.5649236,1.495684,1.6907,1.694032,1.95,2.0,56.4,-0.95,-0.0096,BTC 4H supportive,1,-5.62,1.15,0,price up + OI down: possible short squeeze,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_095446_ADAUSDT_LONG,2026-05-15T06:54:46.237492+00:00,ADAUSDT,long,0.2672,10,0.265864 - 0.2677344,0.2597945,0.282011,0.2886,2.0,2.89,79.8,0.72,0.0007,BTC 4H supportive,1,-0.8,-4.33,0,OI neutral,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_095446_BTCUSDT_LONG,2026-05-15T06:54:46.237492+00:00,BTCUSDT,long,80515.6,9,80113.022 - 80676.6312,78331.2755,82450.0,84884.249,0.89,2.0,6219.3,0.9,-0.0041,BTC 4H supportive,1,1.34,-0.8,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_095446_SOLUSDT_LONG,2026-05-15T06:54:46.237492+00:00,SOLUSDT,long,90.94,9,90.4853 - 91.12188,88.99257143,94.83485714,98.36,2.0,3.81,881.2,-0.43,0.01,BTC 4H supportive,1,-5.62,-4.52,0,price down + OI down: deleveraging,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC supportive",,,,,,,
20260515_095446_XRPUSDT_LONG,2026-05-15T06:54:46.237492+00:00,XRPUSDT,long,1.4697,9,1.4623515 - 1.4726394,1.4030495,1.5496,1.603001,1.2,2.0,729.6,2.48,0.0028,BTC 4H supportive,1,8.85,0.93,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_095446_SUIUSDT_LONG,2026-05-15T06:54:46.237492+00:00,SUIUSDT,long,1.1522,9,1.146439 - 1.1545044,1.0848485,1.286903,1.4132,2.0,3.88,122.7,-3.87,0.0087,BTC 4H supportive,1,-9.82,-9.3,0,price down + OI down: deleveraging,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC supportive",,,,,,,
20260515_095446_DOGEUSDT_LONG,2026-05-15T06:54:46.237492+00:00,DOGEUSDT,long,0.11463,8,0.11405685 - 0.11485926,0.10579835,0.11859,0.1322933,0.45,2.0,448.1,0.0,-0.0072,BTC 4H supportive,1,2.5,3.97,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, funding ok, BTC supportive",,,,,,,
20260515_095446_1000PEPEUSDT_LONG,2026-05-15T06:54:46.237492+00:00,1000PEPEUSDT,long,0.004022,8,0.00400189 - 0.00403004,0.00390423,0.00425754,0.004585,2.0,4.78,94.1,-0.89,-0.0138,BTC 4H supportive,1,-10.8,-7.03,0,price down + OI down: deleveraging,"near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_121226_LINKUSDT_LONG,2026-05-15T09:12:26.465394+00:00,LINKUSDT,long,10.302,11,10.25049 - 10.322604,9.98184,10.865,10.94232,1.76,2.0,66.3,0.48,0.0068,BTC 4H supportive,1,-6.58,-2.66,0,price down + OI down: deleveraging,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",yes,,,,,,
20260515_121226_ADAUSDT_LONG,2026-05-15T09:12:26.465394+00:00,ADAUSDT,long,0.2674,10,0.266063 - 0.2679348,0.2597945,0.282611,0.2886,2.0,2.79,81.2,1.06,0.01,BTC 4H supportive,1,-3.22,-5.31,0,price down + OI down: deleveraging,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",yes,,,,,,
20260515_121226_NEARUSDT_LONG,2026-05-15T09:12:26.465394+00:00,NEARUSDT,long,1.549,10,1.541255 - 1.552098,1.48709714,1.67280571,1.6907,2.0,2.29,60.8,-2.16,-0.0159,BTC 4H supportive,1,-7.78,1.71,0,price up + OI down: possible short squeeze,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC supportive",yes,,,,,,
20260515_121226_BTCUSDT_LONG,2026-05-15T09:12:26.465394+00:00,BTCUSDT,long,80568.0,9,80165.16 - 80729.136,78331.2755,82450.0,85041.449,0.84,2.0,6494.1,0.96,0.0013,BTC 4H supportive,1,-1.26,-1.03,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,,,,,
20260515_121226_SOLUSDT_LONG,2026-05-15T09:12:26.465394+00:00,SOLUSDT,long,91.23,9,90.77385 - 91.41246,89.30125,95.0875,98.36,2.0,3.7,907.4,0.31,0.0009,BTC 4H supportive,1,-9.65,-5.72,0,price down + OI down: deleveraging,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC supportive",,,,,,,
