market_regime,market_bias,market_summary,fear_greed_value,fear_greed_status,altseason_index,altseason_status,btc_dominance,eth_dominance,cycle_mvrv_z,cycle_puell,cycle_mayer,cycle_cbbi,market_reason,created_at
risk-off fearful,risk-off / bearish,"Рынок выглядит скорее risk-off: short-сигналы приоритетнее, а long по альтам требуют сильного подтверждения и меньшего размера. Факторы: страх на рынке: поздние шорты у поддержки опасны; доминирование BTC высокое: alt-long требуют усиленного подтверждения; Puell повышен: late-cycle long опаснее.",25.0,Extreme Fear,,,58.11,9.72,,365.0,,,sentiment: Extreme Fear; BTC dominance high: alt longs need extra confirmation; extreme fear: avoid late shorts into support; Puell elevated,2026-05-19T06:52:35.378919+00:00
neutral/mixed,risk-off / bearish,"Рынок выглядит скорее risk-off: short-сигналы приоритетнее, а long по альтам требуют сильного подтверждения и меньшего размера. Факторы: умеренный risk-off по сентименту; доминирование BTC высокое: alt-long требуют усиленного подтверждения; Puell повышен: late-cycle long опаснее.",27.0,Fear,,,58.28,9.68,,365.0,,,sentiment: Fear; BTC dominance high: alt longs need extra confirmation; Puell elevated,2026-05-20T07:40:42.824670+00:00
