signal_id;selected;manual_comment;created_at;symbol;side;price;score;entry;stop;tp1;tp2;rr1;rr2;turnover24h_m;change24h_pct;funding_pct;btc_regime;btc_score_delta;oi_change_pct;price_change_oi_window_pct;oi_score_delta;oi_signal;smc_score_delta;smc_bias;smc_event;smc_zone;smc_reason;reason
20260520_104205_ETHUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;ETHUSDT;short;2132,4;11;2128.1352 - 2143.062;2275,75215;2076,19;1845,6957;0,39;2,0;1989,9;-0,34;0,0046;BTC 4H bearish trend;2;-7,1;-1,98;0;price down + OI down: long liquidation/deleveraging;1;swing bearish;internal bearish BOS 14 bars ago;discount;SMC bearish internal BOS, SMC discount zone, SMC bearish FVG;1D downtrend, 4H below EMA50, near resistance, RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal BOS, SMC discount zone, SMC bearish FVG
20260520_104205_SOLUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;SOLUSDT;short;84,89;9;84.72022 - 85.31445;92,058;83,29;70,554;0,22;2,0;478,1;-0,6;0,01;BTC 4H bearish trend;2;3,16;-1,35;1;price down + OI up: short confirmation;2;swing bullish;internal bearish CHoCH 28 bars ago;discount;SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG;4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG
20260520_104205_XRPUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;XRPUSDT;short;1,3709;9;1.3681582 - 1.3777545;1,48338;1,347;1,14594;0,21;2,0;286,3;-1,19;0,01;BTC 4H bearish trend;2;15,59;-2,77;1;price down + OI up: short confirmation;1;swing bearish;swing bearish BOS 10 bars ago;discount;SMC bearish swing BOS, SMC discount zone, SMC bearish FVG;1D downtrend, 4H below EMA50, near resistance, too close to support, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish swing BOS, SMC discount zone, SMC bearish FVG
20260520_104205_XAUTUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;XAUTUSDT;short;4481,1;9;4472.1378 - 4503.5055;4604,0055;4457,5;4235,289;0,19;2,0;102,4;-1,28;0,005;BTC 4H bearish trend;2;8,99;-0,93;0;OI neutral;1;swing bearish;internal bearish BOS 1 bars ago;discount;SMC bearish internal BOS, SMC discount zone, SMC bearish FVG;1D downtrend, 4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal BOS, SMC discount zone, SMC bearish FVG
20260520_104205_SUIUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;SUIUSDT;short;1,0588;9;1.0566824 - 1.064094;1,1602725;1,0092;0,855855;0,49;2,0;79,8;-2,62;0,01;BTC 4H bearish trend;2;-8,38;1,42;0;price up + OI down: short covering;3;swing bullish;internal bearish CHoCH 30 bars ago;equilibrium;SMC bearish internal CHoCH, SMC bearish FVG;4H below EMA50, RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal CHoCH, SMC bearish FVG
20260520_104205_NEARUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;NEARUSDT;short;1,6562;8;1.6528876 - 1.664481;1,72049429;1,52761143;1,4659;2,0;2,96;67,4;-0,22;0,01;BTC 4H bearish trend;2;-1,82;10,92;0;OI neutral;0;swing bearish;internal bullish CHoCH 9 bars ago;premium;SMC bullish internal CHoCH, SMC premium zone, SMC bearish FVG;near resistance, BTC supportive for short, RR1 >= 1.5, RR2 >= 2, funding ok, SMC bullish internal CHoCH, SMC premium zone, SMC bearish FVG
20260520_104205_BTCUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;BTCUSDT;short;77342,5;7;77187.815 - 77729.2125;81204,804;75999,9;69617,892;0,35;2,0;3078,5;0,25;0,0093;BTC 4H bearish trend;2;-0,13;-0,9;0;OI neutral;1;swing bearish;internal bearish BOS 14 bars ago;discount;SMC bearish internal BOS, SMC discount zone, SMC bearish FVG;4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal BOS, SMC discount zone, SMC bearish FVG
20260520_104205_ONDOUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;ONDOUSDT;short;0,3771;6;0.3763458 - 0.3789855;0,4018995;0,3328;0,327501;1,79;2,0;97,4;-2,73;-0,0025;BTC 4H bearish trend;2;-11,27;9,37;0;price up + OI down: short covering;-3;swing bullish;internal bullish CHoCH 8 bars ago;equilibrium;SMC bullish internal CHoCH, SMC bullish FVG;near resistance, RSI not oversold, BTC supportive for short, RR1 >= 1.5, RR2 >= 2, funding ok, SMC bullish internal CHoCH, SMC bullish FVG
20260520_104205_BILLUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;BILLUSDT;short;0,11437;6;0.11414126 - 0.11494185;0,238185;0,09588;-0,13326;0,15;2,0;62,9;-7,51;0,005;BTC 4H bearish trend;2;2,71;-23,42;0;OI neutral;1;internal bearish;internal bearish BOS 6 bars ago;discount;SMC bearish internal BOS, SMC discount zone, SMC bearish FVG;4H below EMA50, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal BOS, SMC discount zone, SMC bearish FVG
20260520_104205_DOGEUSDT_SHORT;;;2026-05-20T07:42:05.827616+00:00;DOGEUSDT;short;0,1038;5;0.1035924 - 0.104319;0,11616795;0,10179;0,0790641;0,16;2,0;112,8;-0,87;0,0025;BTC 4H bearish trend;2;-17,61;-4,66;0;price down + OI down: long liquidation/deleveraging;2;swing bearish;swing bearish CHoCH 12 bars ago;discount;SMC bearish swing CHoCH, SMC discount zone, SMC bearish FVG;4H below EMA50, too close to support, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish swing CHoCH, SMC discount zone, SMC bearish FVG
